phone_number,secondary_phone_number,ultra_poor,log_expend,num_phones,fsec_index,fin_index,psych_index,cwr_group,weight,asset_radio_cd_player,asset_tv,asset_tv_dish,asset_vcr_dvd_player,asset_refridgerator,asset_generator,asset_matress,asset_mobile_phone,asset_non_mobile_phone,asset_iron,asset_bed_frame,asset_jewelry,asset_mosquito_net,asset_mosquito_repellent_candle,asset_fan,asset_camera,hhid,asset_index,below_poverty_line
Y0CQ65ZT4W,,0.0,3.895909290677831,3.0,0.10498799179962204,-0.7030583829867153,0.14561176939325454,3.0,0.09840586264925112,1.0,3.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,5.0,0.0,2.0,6.0,0.0,2.0,1.0,HH0,-1.1687811533410257,True
N6ISIGQ8JT,,0.0,3.061541045441565,0.0,-0.08417209636646271,0.7338191089697312,0.8596948300522108,3.0,0.0899661353818586,2.0,4.0,1.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,HH1,0.4601023107930458,True
GEV49GW1UN,,1.0,5.901897030868351,1.0,-0.506114944683526,-0.7291454462821286,0.5870320078078093,3.0,4.794578404890146,1.0,5.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,2.0,2.0,HH2,-0.04155173897400299,False
9427QD9AFZ,,1.0,6.635481290281594,1.0,-1.2376722500447472,-0.3782072676726694,0.3222205492754988,3.0,0.12408268664173927,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,HH3,-1.1650296836421816,False
A5VPUEMOPJ,,1.0,5.528926247310706,3.0,-1.2302114690774042,-2.8154553943557836,-1.1058843548848714,4.0,4.37253844517179,3.0,2.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,3.0,HH4,0.5373779240139072,False
82FFU65GT9,,0.0,5.415963927116377,1.0,-0.2418429531430506,-0.8627194724251749,0.13100718916581175,5.0,0.7208844834732517,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,4.0,5.0,3.0,0.0,HH5,-0.2029635072608494,False
SH9V8N9S2F,,1.0,5.434083014647311,3.0,-0.047562059476204316,-0.8333143686005802,0.13518623192433152,2.0,3.3488645293335333,6.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0,3.0,4.0,0.0,0.0,HH6,0.25900927965839743,False
YUPSLMLCQ4,,0.0,4.922392034817051,3.0,0.3470554579969906,1.2222462812651265,1.4976658948047563,5.0,0.9851048764837133,0.0,4.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,2.0,3.0,HH7,-0.9377199501721616,True
EFIJCF8Z7R,V555FQPYLY,0.0,5.449168991780327,0.0,-0.7907449677163156,0.8411992981502627,0.06425765899512803,4.0,0.23906474026895466,4.0,0.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,5.0,0.0,HH8,0.18515560330612654,False
7PN0R25WFU,,0.0,4.868698092517592,2.0,0.08297869431236421,0.35099711341479245,0.9805966163531852,3.0,0.5158050210887596,3.0,5.0,2.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,3.0,3.0,3.0,HH9,0.30678295356576724,True
H5VMPBRHOX,,0.0,4.249065017947558,1.0,-0.965246650960174,0.2359188389857075,-0.2625622342496692,2.0,0.3783364063329483,1.0,1.0,0.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,4.0,6.0,5.0,0.0,HH10,-0.6552197506407947,True
KV1DGJOC8E,,0.0,6.27765178536808,2.0,-0.8953530416497296,0.9166232869868643,-2.022908488045548,4.0,0.26000606617861777,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,3.0,3.0,4.0,1.0,HH11,-1.6217566671324477,False
BHMHZFXHCB,,0.0,5.748761552370253,0.0,0.7561290176306605,0.006651000076743289,-0.25779111714083397,5.0,0.4697058804154589,5.0,5.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,HH12,0.4831628455185382,False
MLH4NDB81G,55T4BZ1Y5A,0.0,7.657273049114176,2.0,0.4937201745032089,1.5729032775590468,0.845951882349396,4.0,0.961653415145248,3.0,4.0,2.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,HH13,0.303530036982433,False
QEOETW1LD6,,0.0,4.181392724920286,1.0,-0.3596648209981222,0.4003543526126324,-0.9816684158580812,2.0,0.18298770406229448,0.0,4.0,1.0,2.0,0.0,1.0,6.0,0.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,HH14,-0.9329552782469271,True
3CGZMQW4KN,,0.0,3.5548488387971764,0.0,0.9256683237068096,-0.4913519191692143,0.049447844334978584,2.0,0.9922630256890967,2.0,3.0,1.0,3.0,0.0,3.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,HH15,-1.3551466369624847,True
DKKV7QH2LA,,0.0,6.341763191273197,1.0,1.1828033818751225,0.8445338484387408,0.1633282227016402,2.0,0.5562684494519674,4.0,4.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,5.0,1.0,HH16,0.580000309667625,False
406TWYQJ9A,,1.0,4.894810444476086,2.0,-1.1108970410348369,0.020080270226512497,0.8872381064983816,3.0,2.786628841338004,6.0,3.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,HH17,0.06470039220167406,True
3FVC8RIP4W,,0.0,6.35678724505347,0.0,0.6139956911801459,1.0654254737274078,0.2346172700271737,1.0,0.10371027242344301,4.0,3.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,HH18,-0.1835864648145638,False
SWITY0FAMV,,0.0,7.0140140925321415,3.0,1.3882288183341496,1.3981710534174514,-1.4553668745743316,2.0,0.4270642084799813,5.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,4.0,1.0,3.0,HH19,0.18046311640399915,False
KPO2Y0CZ0C,UL5EVWZBNG,1.0,3.627370351612265,3.0,-0.25180018664069104,-1.605594663223736,-1.2075823765977831,1.0,3.7222086071760785,4.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,HH20,0.2647455818628147,True
K2EQK2759A,,0.0,4.142571599063045,3.0,-0.7563911152394431,0.022853951971089026,0.9899796177076152,2.0,0.2703610058956705,1.0,2.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,6.0,4.0,4.0,1.0,HH21,1.2365724139765863,True
C5UT3D0M9F,,0.0,3.3187115496766717,2.0,-0.9352231524513296,0.8410942748568929,-0.7265193105530666,4.0,0.5319076254295881,5.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,2.0,5.0,0.0,2.0,3.0,HH22,-0.43527162350385945,True
IAZ0UANAA7,,0.0,4.849401345810048,1.0,0.9392328919395324,-1.581817883307321,-0.10706891159227684,4.0,0.6381943712992211,2.0,4.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,1.0,HH23,-0.092615343308489,True
