,feature,importance
0,below_poverty_line,0
1,reporting__number_of_records,7
2,active_days__allweek__day__callandtext,1
3,active_days__allweek__night__callandtext,0
4,active_days__weekend__allday__callandtext,0
5,active_days__weekend__day__callandtext,1
6,number_of_contacts__allweek__allday__text,0
7,number_of_contacts__allweek__day__text,0
8,number_of_contacts__allweek__night__text,1
9,number_of_contacts__weekday__allday__text,0
10,number_of_contacts__weekend__allday__text,0
11,number_of_contacts__weekend__night__call,0
12,number_of_contacts__weekend__night__text,0
13,call_duration__allweek__allday__call__mean,0
14,call_duration__allweek__allday__call__median,0
15,call_duration__allweek__allday__call__skewness,0
16,call_duration__allweek__allday__call__min,0
17,call_duration__allweek__allday__call__max,0
18,call_duration__allweek__day__call__mean,0
19,call_duration__allweek__day__call__std,1
20,call_duration__allweek__day__call__kurtosis,2
21,call_duration__allweek__day__call__max,0
22,call_duration__allweek__night__call__mean,0
23,call_duration__allweek__night__call__skewness,2
24,call_duration__weekday__allday__call__mean,0
25,call_duration__weekday__day__call__mean,1
26,call_duration__weekday__day__call__std,0
27,call_duration__weekday__day__call__min,0
28,call_duration__weekday__night__call__skewness,0
29,call_duration__weekday__night__call__kurtosis,0
30,call_duration__weekday__night__call__max,0
31,call_duration__weekend__allday__call__std,0
32,call_duration__weekend__allday__call__median,1
33,call_duration__weekend__allday__call__max,0
34,call_duration__weekend__day__call__mean,2
35,call_duration__weekend__day__call__kurtosis,0
36,call_duration__weekend__day__call__min,0
37,call_duration__weekend__night__call__median,0
38,call_duration__weekend__night__call__skewness,1
39,call_duration__weekend__night__call__kurtosis,0
40,percent_nocturnal__allweek__allday__call,0
41,percent_nocturnal__allweek__allday__text,0
42,percent_nocturnal__allweek__day__call,0
43,percent_nocturnal__allweek__day__text,0
44,percent_nocturnal__allweek__night__call,0
45,percent_nocturnal__weekday__day__call,0
46,percent_nocturnal__weekday__day__text,2
47,percent_nocturnal__weekday__night__text,0
48,percent_nocturnal__weekend__day__text,1
49,percent_nocturnal__weekend__night__text,0
50,percent_initiated_conversations__weekday__allday__callandtext,0
51,percent_initiated_conversations__weekend__allday__callandtext,0
52,percent_initiated_conversations__weekend__day__callandtext,0
53,percent_initiated_conversations__weekend__night__callandtext,0
54,percent_initiated_interactions__weekday__day__call,0
55,percent_initiated_interactions__weekday__night__call,0
56,response_delay_text__allweek__allday__callandtext__mean,0
57,response_delay_text__allweek__allday__callandtext__std,0
58,response_delay_text__allweek__allday__callandtext__median,5
59,response_delay_text__allweek__allday__callandtext__skewness,0
60,response_delay_text__allweek__allday__callandtext__min,1
61,response_delay_text__allweek__allday__callandtext__max,0
62,response_delay_text__allweek__day__callandtext__median,0
63,response_delay_text__allweek__day__callandtext__kurtosis,0
64,response_delay_text__allweek__night__callandtext__mean,0
65,response_delay_text__allweek__night__callandtext__skewness,0
66,response_delay_text__allweek__night__callandtext__kurtosis,1
67,response_delay_text__allweek__night__callandtext__min,0
68,response_delay_text__allweek__night__callandtext__max,0
69,response_delay_text__weekday__allday__callandtext__mean,0
70,response_delay_text__weekday__allday__callandtext__skewness,1
71,response_delay_text__weekday__allday__callandtext__kurtosis,0
72,response_delay_text__weekday__allday__callandtext__min,0
73,response_delay_text__weekday__allday__callandtext__max,0
74,response_delay_text__weekday__day__callandtext__std,0
75,response_delay_text__weekday__day__callandtext__median,0
76,response_delay_text__weekday__day__callandtext__kurtosis,4
77,response_delay_text__weekday__day__callandtext__max,5
78,response_delay_text__weekday__night__callandtext__mean,0
79,response_delay_text__weekday__night__callandtext__median,0
80,response_delay_text__weekday__night__callandtext__kurtosis,0
81,response_delay_text__weekday__night__callandtext__max,0
82,response_delay_text__weekend__allday__callandtext__mean,0
83,response_delay_text__weekend__allday__callandtext__skewness,1
84,response_delay_text__weekend__allday__callandtext__kurtosis,0
85,response_delay_text__weekend__allday__callandtext__min,1
86,response_delay_text__weekend__allday__callandtext__max,1
87,response_delay_text__weekend__day__callandtext__mean,3
88,response_delay_text__weekend__day__callandtext__kurtosis,0
89,response_delay_text__weekend__day__callandtext__min,0
90,response_delay_text__weekend__day__callandtext__max,0
91,response_delay_text__weekend__night__callandtext__mean,0
92,response_delay_text__weekend__night__callandtext__std,0
93,response_delay_text__weekend__night__callandtext__median,1
94,response_delay_text__weekend__night__callandtext__kurtosis,0
95,response_delay_text__weekend__night__callandtext__min,4
96,response_delay_text__weekend__night__callandtext__max,0
97,response_rate_text__allweek__day__callandtext,1
98,response_rate_text__allweek__night__callandtext,0
99,response_rate_text__weekday__allday__callandtext,0
100,response_rate_text__weekday__day__callandtext,0
101,response_rate_text__weekend__allday__callandtext,4
102,response_rate_text__weekend__night__callandtext,0
103,entropy_of_contacts__allweek__day__text,0
