,feature,importance
0,below_poverty_line,0.2584778080147725
1,reporting__number_of_records,0.19050000835777892
2,active_days__allweek__day__callandtext,-0.06809051977248799
3,active_days__allweek__night__callandtext,0.06453353984535673
4,active_days__weekend__allday__callandtext,-0.21337763320360204
5,active_days__weekend__day__callandtext,-0.12448920055535512
6,number_of_contacts__allweek__allday__text,-0.09676133374878033
7,number_of_contacts__allweek__day__text,0.07140262785128859
8,number_of_contacts__allweek__night__text,-0.021844270629662193
9,number_of_contacts__weekday__allday__text,0.18701718611190749
10,number_of_contacts__weekend__allday__text,-0.021423333053691145
11,number_of_contacts__weekend__night__call,-0.049230874489293454
12,number_of_contacts__weekend__night__text,0.19855352923166947
13,call_duration__allweek__allday__call__mean,-0.03690075957475469
14,call_duration__allweek__allday__call__median,-0.09974683614458896
15,call_duration__allweek__allday__call__skewness,0.10204308265729438
16,call_duration__allweek__allday__call__min,-0.09724338169881976
17,call_duration__allweek__allday__call__max,0.05053399644957582
18,call_duration__allweek__day__call__mean,0.11620050918622041
19,call_duration__allweek__day__call__std,-0.13595311397956622
20,call_duration__allweek__day__call__kurtosis,0.0020339867431236904
21,call_duration__allweek__day__call__max,0.018633666866517042
22,call_duration__allweek__night__call__mean,0.0019994025644674237
23,call_duration__allweek__night__call__skewness,-0.2561967022284378
24,call_duration__weekday__allday__call__mean,0.03362863635206858
25,call_duration__weekday__day__call__mean,0.18746934129349388
26,call_duration__weekday__day__call__std,0.15582817739806495
27,call_duration__weekday__day__call__min,0.1750098713371933
28,call_duration__weekday__night__call__skewness,-0.06323805539003555
29,call_duration__weekday__night__call__kurtosis,-0.15958078270121714
30,call_duration__weekday__night__call__max,0.05724451438713414
31,call_duration__weekend__allday__call__std,0.022246113135703387
32,call_duration__weekend__allday__call__median,-0.24735001255764116
33,call_duration__weekend__allday__call__max,0.017798366133257543
34,call_duration__weekend__day__call__mean,0.16959876321849415
35,call_duration__weekend__day__call__kurtosis,-0.08120068548496395
36,call_duration__weekend__day__call__min,-0.05809343912913073
37,call_duration__weekend__night__call__median,-0.05018617510846422
38,call_duration__weekend__night__call__skewness,-0.18356592943109562
39,call_duration__weekend__night__call__kurtosis,0.14441894285147805
40,percent_nocturnal__allweek__allday__call,0.054959164304113864
41,percent_nocturnal__allweek__allday__text,-0.26496580873095377
42,percent_nocturnal__allweek__day__call,0.101929231136077
43,percent_nocturnal__allweek__day__text,0.14490485604156075
44,percent_nocturnal__allweek__night__call,-0.12724253752549863
45,percent_nocturnal__weekday__day__call,0.03971495611260019
46,percent_nocturnal__weekday__day__text,0.016881678963949917
47,percent_nocturnal__weekday__night__text,0.06491227180065237
48,percent_nocturnal__weekend__day__text,0.17016480969548323
49,percent_nocturnal__weekend__night__text,-0.058248441074022037
50,percent_initiated_conversations__weekday__allday__callandtext,-0.07550311148411579
51,percent_initiated_conversations__weekend__allday__callandtext,-0.09701223310176654
52,percent_initiated_conversations__weekend__day__callandtext,0.15602973531602404
53,percent_initiated_conversations__weekend__night__callandtext,0.014237386046194204
54,percent_initiated_interactions__weekday__day__call,-0.11675141908540217
55,percent_initiated_interactions__weekday__night__call,-0.2506502830949473
56,response_delay_text__allweek__allday__callandtext__mean,-0.17262111001649727
57,response_delay_text__allweek__allday__callandtext__std,-0.09780096681282188
58,response_delay_text__allweek__allday__callandtext__median,-0.183673141900862
59,response_delay_text__allweek__allday__callandtext__skewness,0.11693859562189941
60,response_delay_text__allweek__allday__callandtext__min,-0.010063149209411513
61,response_delay_text__allweek__allday__callandtext__max,-0.09006167536420696
62,response_delay_text__allweek__day__callandtext__median,0.1631557836623752
63,response_delay_text__allweek__day__callandtext__kurtosis,0.07077651452375738
64,response_delay_text__allweek__night__callandtext__mean,0.011534475155404813
65,response_delay_text__allweek__night__callandtext__skewness,0.14466618548815
66,response_delay_text__allweek__night__callandtext__kurtosis,-0.13664919956815183
67,response_delay_text__allweek__night__callandtext__min,0.07583547349907585
68,response_delay_text__allweek__night__callandtext__max,-0.0383323121274428
69,response_delay_text__weekday__allday__callandtext__mean,-0.12619036650081508
70,response_delay_text__weekday__allday__callandtext__skewness,0.05524671860264734
71,response_delay_text__weekday__allday__callandtext__kurtosis,-0.05139129249890376
72,response_delay_text__weekday__allday__callandtext__min,0.03954336889315064
73,response_delay_text__weekday__allday__callandtext__max,-0.07763800529948446
74,response_delay_text__weekday__day__callandtext__std,-0.019767247442707806
75,response_delay_text__weekday__day__callandtext__median,0.06596201443472512
76,response_delay_text__weekday__day__callandtext__kurtosis,-0.12295503542311126
77,response_delay_text__weekday__day__callandtext__max,-0.37022886938250416
78,response_delay_text__weekday__night__callandtext__mean,0.07894642909487246
79,response_delay_text__weekday__night__callandtext__median,0.11515636361832685
80,response_delay_text__weekday__night__callandtext__kurtosis,-0.1637115291322008
81,response_delay_text__weekday__night__callandtext__max,-0.028726211850004207
82,response_delay_text__weekend__allday__callandtext__mean,-0.11837629956797381
83,response_delay_text__weekend__allday__callandtext__skewness,0.2614554360818066
84,response_delay_text__weekend__allday__callandtext__kurtosis,-0.0861348867890036
85,response_delay_text__weekend__allday__callandtext__min,-0.03195607957797851
86,response_delay_text__weekend__allday__callandtext__max,0.23750684304647496
87,response_delay_text__weekend__day__callandtext__mean,-0.039818509457073464
88,response_delay_text__weekend__day__callandtext__kurtosis,-0.20070895287132334
89,response_delay_text__weekend__day__callandtext__min,0.23514294779373582
90,response_delay_text__weekend__day__callandtext__max,-0.14469340484190665
91,response_delay_text__weekend__night__callandtext__mean,0.029985412547610925
92,response_delay_text__weekend__night__callandtext__std,0.11943066719022721
93,response_delay_text__weekend__night__callandtext__median,0.10074135652138091
94,response_delay_text__weekend__night__callandtext__kurtosis,0.006396891156801123
95,response_delay_text__weekend__night__callandtext__min,0.39751899421879106
96,response_delay_text__weekend__night__callandtext__max,0.05766362382830257
97,response_rate_text__allweek__day__callandtext,-0.014888513740159431
98,response_rate_text__allweek__night__callandtext,-0.10660597208823806
99,response_rate_text__weekday__allday__callandtext,0.10568585951796557
100,response_rate_text__weekday__day__callandtext,-0.16490801510240055
101,response_rate_text__weekend__allday__callandtext,-0.12427125114331047
102,response_rate_text__weekend__night__callandtext,0.07449738069245566
103,entropy_of_contacts__allweek__day__text,-0.010763175772701588
104,entropy_of_contacts__allweek__night__call,-0.011866947572044699
105,entropy_of_contacts__weekday__allday__call,0.04859455417453213
106,entropy_of_contacts__weekday__allday__text,0.07567955520953164
107,entropy_of_contacts__weekday__day__text,-0.04899568242042289
