,feature,importance
0,below_poverty_line,0.0
1,reporting__number_of_records,0.022871614310953987
2,active_days__allweek__day__callandtext,0.0
3,active_days__allweek__night__callandtext,0.0
4,active_days__weekend__allday__callandtext,0.0
5,active_days__weekend__day__callandtext,0.0
6,number_of_contacts__allweek__allday__text,0.0
7,number_of_contacts__allweek__day__text,0.0
8,number_of_contacts__allweek__night__text,0.0
9,number_of_contacts__weekday__allday__text,0.0
10,number_of_contacts__weekend__allday__text,0.0
11,number_of_contacts__weekend__night__call,0.0
12,number_of_contacts__weekend__night__text,0.0
13,call_duration__allweek__allday__call__mean,0.0
14,call_duration__allweek__allday__call__median,0.0
15,call_duration__allweek__allday__call__skewness,0.0
16,call_duration__allweek__allday__call__min,0.0063485863709794995
17,call_duration__allweek__allday__call__max,0.0
18,call_duration__allweek__day__call__mean,0.0
19,call_duration__allweek__day__call__std,0.0
20,call_duration__allweek__day__call__kurtosis,0.0
21,call_duration__allweek__day__call__max,0.0
22,call_duration__allweek__night__call__mean,0.0
23,call_duration__allweek__night__call__skewness,0.0
24,call_duration__weekday__allday__call__mean,0.0
25,call_duration__weekday__day__call__mean,0.0
26,call_duration__weekday__day__call__std,0.0
27,call_duration__weekday__day__call__min,0.0
28,call_duration__weekday__night__call__skewness,0.0
29,call_duration__weekday__night__call__kurtosis,0.0
30,call_duration__weekday__night__call__max,0.002435016456330896
31,call_duration__weekend__allday__call__std,0.0
32,call_duration__weekend__allday__call__median,0.0
33,call_duration__weekend__allday__call__max,0.006522932502936872
34,call_duration__weekend__day__call__mean,0.0
35,call_duration__weekend__day__call__kurtosis,0.0
36,call_duration__weekend__day__call__min,0.0
37,call_duration__weekend__night__call__median,0.0
38,call_duration__weekend__night__call__skewness,0.0
39,call_duration__weekend__night__call__kurtosis,0.0
40,percent_nocturnal__allweek__allday__call,0.007007153922414691
41,percent_nocturnal__allweek__allday__text,0.011623420918912088
42,percent_nocturnal__allweek__day__call,0.0
43,percent_nocturnal__allweek__day__text,0.0
