,feature,importance
0,below_poverty_line,0.02361081464239668
1,reporting__number_of_records,0.01173348395560956
2,active_days__allweek__day__callandtext,0.015266435639449872
3,active_days__allweek__night__callandtext,-0.00494718602792594
4,active_days__weekend__allday__callandtext,0.08290159784530211
5,active_days__weekend__day__callandtext,-0.029547327974300642
6,number_of_contacts__allweek__allday__text,-0.14045916848008297
7,number_of_contacts__allweek__day__text,0.06401524760346251
8,number_of_contacts__allweek__night__text,-0.040215415684547284
9,number_of_contacts__weekday__allday__text,-0.029289302327242746
10,number_of_contacts__weekend__allday__text,-0.19550018153451534
11,number_of_contacts__weekend__night__call,0.09336308229933578
12,number_of_contacts__weekend__night__text,-0.12832123278841392
13,call_duration__allweek__allday__call__mean,0.019239553190409785
14,call_duration__allweek__allday__call__median,0.20764782870155613
15,call_duration__allweek__allday__call__skewness,0.027733636822963564
16,call_duration__allweek__allday__call__min,0.12317963610564432
17,call_duration__allweek__allday__call__max,0.06458344624358288
18,call_duration__allweek__day__call__mean,-0.17595411876167494
19,call_duration__allweek__day__call__std,0.06904441946583041
20,call_duration__allweek__day__call__kurtosis,0.3083067401672152
21,call_duration__allweek__day__call__max,-0.24078607792852397
22,call_duration__allweek__night__call__mean,-0.17959549374537742
23,call_duration__allweek__night__call__skewness,-0.19348364811477853
24,call_duration__weekday__allday__call__mean,0.08017745967833032
25,call_duration__weekday__day__call__mean,0.14620976059684904
26,call_duration__weekday__day__call__std,0.22063855594821227
27,call_duration__weekday__day__call__min,-0.1841293433676286
28,call_duration__weekday__night__call__skewness,0.06585600046673865
29,call_duration__weekday__night__call__kurtosis,0.20613590402191137
30,call_duration__weekday__night__call__max,-0.15813258275057204
31,call_duration__weekend__allday__call__std,0.02985198291159722
32,call_duration__weekend__allday__call__median,-0.10978747533515683
33,call_duration__weekend__allday__call__max,0.37569713721917103
34,call_duration__weekend__day__call__mean,0.0023774333821582044
35,call_duration__weekend__day__call__kurtosis,-0.07008646970211398
36,call_duration__weekend__day__call__min,0.13563814532277918
37,call_duration__weekend__night__call__median,0.04562201277815709
38,call_duration__weekend__night__call__skewness,0.2100531367653843
39,call_duration__weekend__night__call__kurtosis,0.07385436907424224
40,percent_nocturnal__allweek__allday__call,0.011281673444850805
41,percent_nocturnal__allweek__allday__text,0.03342292968215188
42,percent_nocturnal__allweek__day__call,-0.0025759947604736483
43,percent_nocturnal__allweek__day__text,-0.008863638047707812
44,percent_nocturnal__allweek__night__call,0.3102509662293058
45,percent_nocturnal__weekday__day__call,-0.011880776945322491
46,percent_nocturnal__weekday__day__text,-0.11191777160300702
47,percent_nocturnal__weekday__night__text,-0.15819621890607763
48,percent_nocturnal__weekend__day__text,0.1233822736762563
49,percent_nocturnal__weekend__night__text,-0.1590983287566843
50,percent_initiated_conversations__weekday__allday__callandtext,0.1372938279284498
51,percent_initiated_conversations__weekend__allday__callandtext,-0.033336850176305444
52,percent_initiated_conversations__weekend__day__callandtext,0.03852876496424406
53,percent_initiated_conversations__weekend__night__callandtext,0.04813349811093155
54,percent_initiated_interactions__weekday__day__call,0.03246204527750951
55,percent_initiated_interactions__weekday__night__call,0.2729016417955552
56,response_delay_text__allweek__allday__callandtext__mean,0.03682614952195611
57,response_delay_text__allweek__allday__callandtext__std,-0.12576108890096377
58,response_delay_text__allweek__allday__callandtext__median,-0.06447436958674965
59,response_delay_text__allweek__allday__callandtext__skewness,0.05248370611518074
60,response_delay_text__allweek__allday__callandtext__min,-0.12966888413755268
61,response_delay_text__allweek__allday__callandtext__max,-0.347092164353434
62,response_delay_text__allweek__day__callandtext__median,-0.20276232635400315
63,response_delay_text__allweek__day__callandtext__kurtosis,-0.1490251060826302
64,response_delay_text__allweek__night__callandtext__mean,-0.06472129351370483
65,response_delay_text__allweek__night__callandtext__skewness,0.15304315609634508
66,response_delay_text__allweek__night__callandtext__kurtosis,-0.06968841842507432
67,response_delay_text__allweek__night__callandtext__min,0.13484470388097258
68,response_delay_text__allweek__night__callandtext__max,0.14143416314839644
69,response_delay_text__weekday__allday__callandtext__mean,0.2701957161312229
70,response_delay_text__weekday__allday__callandtext__skewness,-0.12442778579412962
71,response_delay_text__weekday__allday__callandtext__kurtosis,0.09337653806767844
72,response_delay_text__weekday__allday__callandtext__min,-0.001911364529213617
73,response_delay_text__weekday__allday__callandtext__max,-0.021881658250315315
74,response_delay_text__weekday__day__callandtext__std,0.07647816045882369
