,feature,importance
0,below_poverty_line,-1.5685155108994038
1,reporting__number_of_records,-0.0734815864890324
2,active_days__allweek__day__callandtext,0.006235929124621902
3,active_days__allweek__night__callandtext,0.0851477826374027
4,active_days__weekend__allday__callandtext,0.06356350992211818
5,active_days__weekend__day__callandtext,-0.002262416967938795
6,number_of_contacts__allweek__allday__text,0.029788871891891864
7,number_of_contacts__allweek__day__text,0.26612576247937775
8,number_of_contacts__allweek__night__text,0.04049832852922631
9,number_of_contacts__weekday__allday__text,0.028096350016255357
10,number_of_contacts__weekend__allday__text,-0.0836435068821283
11,number_of_contacts__weekend__night__call,0.09552964862878452
12,number_of_contacts__weekend__night__text,0.08336195688361166
13,call_duration__allweek__allday__call__mean,-0.045296468599786754
14,call_duration__allweek__allday__call__median,0.005761364465594433
15,call_duration__allweek__allday__call__skewness,-0.017170460383414226
16,call_duration__allweek__allday__call__min,-0.1328841365597679
17,call_duration__allweek__allday__call__max,0.0049711713347433155
18,call_duration__allweek__day__call__mean,-0.008950842575717963
19,call_duration__allweek__day__call__std,0.08659444849781217
20,call_duration__allweek__day__call__kurtosis,0.026279025239420353
21,call_duration__allweek__day__call__max,-0.15353524450828346
22,call_duration__allweek__night__call__mean,0.1268038999607855
23,call_duration__allweek__night__call__skewness,-0.011155533942847807
24,call_duration__weekday__allday__call__mean,0.02581526805199538
25,call_duration__weekday__day__call__mean,-0.10569239037342723
26,call_duration__weekday__day__call__std,0.1217414606723846
27,call_duration__weekday__day__call__min,0.06818645726107093
28,call_duration__weekday__night__call__skewness,-0.04796280512351106
29,call_duration__weekday__night__call__kurtosis,0.05775666564939936
30,call_duration__weekday__night__call__max,0.08929597938322242
31,call_duration__weekend__allday__call__std,0.08135527271346531
32,call_duration__weekend__allday__call__median,0.07280284982425629
33,call_duration__weekend__allday__call__max,-0.02152520730727843
34,call_duration__weekend__day__call__mean,0.17667484602880484
35,call_duration__weekend__day__call__kurtosis,0.09780770253910345
36,call_duration__weekend__day__call__min,0.16240252885241924
37,call_duration__weekend__night__call__median,-0.02285058562749322
38,call_duration__weekend__night__call__skewness,-0.09298166683860941
39,call_duration__weekend__night__call__kurtosis,0.08576246263473664
40,percent_nocturnal__allweek__allday__call,-0.020920999547488574
41,percent_nocturnal__allweek__allday__text,0.09533711188154333
42,percent_nocturnal__allweek__day__call,-0.026319980986687332
43,percent_nocturnal__allweek__day__text,0.024612173394290074
44,percent_nocturnal__allweek__night__call,0.0895724485566527
45,percent_nocturnal__weekday__day__call,-0.04547790684016475
46,percent_nocturnal__weekday__day__text,0.23040429405327842
47,percent_nocturnal__weekday__night__text,0.023890458870041247
48,percent_nocturnal__weekend__day__text,0.037324036560146746
49,percent_nocturnal__weekend__night__text,0.015799150953971604
50,percent_initiated_conversations__weekday__allday__callandtext,0.04782975713714435
51,percent_initiated_conversations__weekend__allday__callandtext,0.08852562651590325
52,percent_initiated_conversations__weekend__day__callandtext,-0.048058516264201406
53,percent_initiated_conversations__weekend__night__callandtext,0.13835149076968759
54,percent_initiated_interactions__weekday__day__call,0.08656344035136466
55,percent_initiated_interactions__weekday__night__call,0.061677686913801884
56,response_delay_text__allweek__allday__callandtext__mean,0.17957086998499544
57,response_delay_text__allweek__allday__callandtext__std,-0.1031985343902047
58,response_delay_text__allweek__allday__callandtext__median,0.08807365619892289
59,response_delay_text__allweek__allday__callandtext__skewness,0.10966367574740173
60,response_delay_text__allweek__allday__callandtext__min,-0.055741551526836054
61,response_delay_text__allweek__allday__callandtext__max,-0.03732904917118155
62,response_delay_text__allweek__day__callandtext__median,0.051665069839069995
63,response_delay_text__allweek__day__callandtext__kurtosis,-0.03279635001884289
64,response_delay_text__allweek__night__callandtext__mean,0.07582539741611251
65,response_delay_text__allweek__night__callandtext__skewness,-0.04328216538203614
66,response_delay_text__allweek__night__callandtext__kurtosis,-0.031602673170796514
67,response_delay_text__allweek__night__callandtext__min,0.037289411955300236
68,response_delay_text__allweek__night__callandtext__max,0.0892353256274134
69,response_delay_text__weekday__allday__callandtext__mean,-0.021557218540257828
70,response_delay_text__weekday__allday__callandtext__skewness,0.006795131691233366
71,response_delay_text__weekday__allday__callandtext__kurtosis,-0.017405620684423136
72,response_delay_text__weekday__allday__callandtext__min,-0.12745148099381148
73,response_delay_text__weekday__allday__callandtext__max,0.02994244131486585
74,response_delay_text__weekday__day__callandtext__std,-0.0484996469961179
75,response_delay_text__weekday__day__callandtext__median,0.13784783408648807
76,response_delay_text__weekday__day__callandtext__kurtosis,0.018530002599946888
77,response_delay_text__weekday__day__callandtext__max,0.12526082507794498
78,response_delay_text__weekday__night__callandtext__mean,0.04226393978301379
79,response_delay_text__weekday__night__callandtext__median,-0.05098379742676236
80,response_delay_text__weekday__night__callandtext__kurtosis,0.06345018213435545
81,response_delay_text__weekday__night__callandtext__max,0.1598159309777337
82,response_delay_text__weekend__allday__callandtext__mean,-0.000638379867675387
83,response_delay_text__weekend__allday__callandtext__skewness,-0.029482204233030412
84,response_delay_text__weekend__allday__callandtext__kurtosis,-0.09641441248245859
85,response_delay_text__weekend__allday__callandtext__min,0.02244670789114693
86,response_delay_text__weekend__allday__callandtext__max,-0.06985298742886506
87,response_delay_text__weekend__day__callandtext__mean,0.008213031854335223
88,response_delay_text__weekend__day__callandtext__kurtosis,-0.016999378790605466
89,response_delay_text__weekend__day__callandtext__min,0.07833042234343192
90,response_delay_text__weekend__day__callandtext__max,0.05647817117198569
91,response_delay_text__weekend__night__callandtext__mean,-0.024242023749562556
92,response_delay_text__weekend__night__callandtext__std,-0.00020774626014831272
93,response_delay_text__weekend__night__callandtext__median,0.0783171215391293
94,response_delay_text__weekend__night__callandtext__kurtosis,-0.049272772008166536
95,response_delay_text__weekend__night__callandtext__min,-0.013525282729722808
96,response_delay_text__weekend__night__callandtext__max,0.029600855516064995
97,response_rate_text__allweek__day__callandtext,0.07225009841590067
98,response_rate_text__allweek__night__callandtext,0.04144627376996577
99,response_rate_text__weekday__allday__callandtext,0.1146798217897582
100,response_rate_text__weekday__day__callandtext,0.12266958965755144
101,response_rate_text__weekend__allday__callandtext,0.17073710271978365
102,response_rate_text__weekend__night__callandtext,0.12344949951770211
103,entropy_of_contacts__allweek__day__text,0.014225298577232728
104,entropy_of_contacts__allweek__night__call,0.030316236788073922
105,entropy_of_contacts__weekday__allday__call,0.036402792774829204
106,entropy_of_contacts__weekday__allday__text,0.051724789106365035
107,entropy_of_contacts__weekday__day__text,-0.059506371154981655
108,entropy_of_contacts__weekday__night__call,0.036388850769185924
109,entropy_of_contacts__weekday__night__text,0.165718782468424
110,entropy_of_contacts__weekend__allday__call,-0.12338004432725676
111,entropy_of_contacts__weekend__allday__text,0.04519987959095307
112,balance_of_contacts__allweek__allday__call__skewness,-0.021325752990151305
113,balance_of_contacts__allweek__allday__call__max,0.04387151479033575
114,balance_of_contacts__allweek__allday__text__mean,0.11360138933065562
115,balance_of_contacts__allweek__allday__text__std,0.01139238525565156
116,balance_of_contacts__allweek__allday__text__min,0.06382049632971312
117,balance_of_contacts__allweek__day__call__std,-0.008233281749740638
118,balance_of_contacts__allweek__day__call__skewness,0.04770692556331444
119,balance_of_contacts__allweek__day__call__kurtosis,0.15518859994839096
120,balance_of_contacts__allweek__day__call__min,0.07770768190834963
121,balance_of_contacts__allweek__day__text__min,0.050178226500109294
122,balance_of_contacts__allweek__day__text__max,0.0007542755214326159
123,balance_of_contacts__allweek__night__call__skewness,0.10508806019888207
124,balance_of_contacts__allweek__night__call__min,-0.05799221832122255
125,balance_of_contacts__allweek__night__call__max,0.11569535309329997
126,balance_of_contacts__allweek__night__text__mean,-0.023825741460554342
127,balance_of_contacts__allweek__night__text__std,0.07976778996604209
128,balance_of_contacts__allweek__night__text__median,0.08546551979486651
129,balance_of_contacts__allweek__night__text__skewness,-0.020389884262285243
130,balance_of_contacts__allweek__night__text__min,-0.11684171802303338
131,balance_of_contacts__weekday__allday__call__mean,-0.10230717890538306
132,balance_of_contacts__weekday__allday__call__std,0.012114595664250325
133,balance_of_contacts__weekday__allday__call__median,0.03946680133173466
134,balance_of_contacts__weekday__allday__text__mean,0.05249787538192731
135,balance_of_contacts__weekday__allday__text__std,-0.11116385458245087
136,balance_of_contacts__weekday__allday__text__median,0.017935673212392235
137,balance_of_contacts__weekday__day__call__std,0.05682523853324742
138,balance_of_contacts__weekday__day__call__median,-0.02180016487157769
139,balance_of_contacts__weekday__day__call__min,0.08161635942572594
140,balance_of_contacts__weekday__day__text__mean,-0.06165878919149221
141,balance_of_contacts__weekday__day__text__median,0.05441371300877317
142,balance_of_contacts__weekday__day__text__kurtosis,-0.024033225098769723
143,balance_of_contacts__weekday__day__text__min,-0.005608097384528357
144,balance_of_contacts__weekday__night__call__mean,0.05529412977840117
