,feature,importance
0,below_poverty_line,0.9263970004093594
1,reporting__number_of_records,0.0
2,active_days__allweek__day__callandtext,0.004068616497369968
3,active_days__allweek__night__callandtext,0.0
4,active_days__weekend__allday__callandtext,0.0
5,active_days__weekend__day__callandtext,0.0
6,number_of_contacts__allweek__allday__text,0.0
7,number_of_contacts__allweek__day__text,0.0
8,number_of_contacts__allweek__night__text,0.0006008069104128772
9,number_of_contacts__weekday__allday__text,0.0
10,number_of_contacts__weekend__allday__text,0.0
11,number_of_contacts__weekend__night__call,0.0
12,number_of_contacts__weekend__night__text,0.0
13,call_duration__allweek__allday__call__mean,0.0007335990284738905
14,call_duration__allweek__allday__call__median,0.0
15,call_duration__allweek__allday__call__skewness,0.0
16,call_duration__allweek__allday__call__min,0.0
17,call_duration__allweek__allday__call__max,0.0008633154938183132
18,call_duration__allweek__day__call__mean,0.0
19,call_duration__allweek__day__call__std,0.0
20,call_duration__allweek__day__call__kurtosis,0.0
21,call_duration__allweek__day__call__max,0.0
22,call_duration__allweek__night__call__mean,0.0
23,call_duration__allweek__night__call__skewness,0.0
24,call_duration__weekday__allday__call__mean,0.0
25,call_duration__weekday__day__call__mean,0.0
26,call_duration__weekday__day__call__std,0.0
27,call_duration__weekday__day__call__min,0.0
28,call_duration__weekday__night__call__skewness,0.0
29,call_duration__weekday__night__call__kurtosis,0.0006225286220720727
30,call_duration__weekday__night__call__max,0.0
31,call_duration__weekend__allday__call__std,0.0006714894351049988
32,call_duration__weekend__allday__call__median,0.0
33,call_duration__weekend__allday__call__max,0.0
34,call_duration__weekend__day__call__mean,0.0017532589399631548
35,call_duration__weekend__day__call__kurtosis,0.0005025721782146483
36,call_duration__weekend__day__call__min,0.0011425381739620375
37,call_duration__weekend__night__call__median,0.0
38,call_duration__weekend__night__call__skewness,0.0
39,call_duration__weekend__night__call__kurtosis,0.0
40,percent_nocturnal__allweek__allday__call,0.0
41,percent_nocturnal__allweek__allday__text,0.0
42,percent_nocturnal__allweek__day__call,0.0
43,percent_nocturnal__allweek__day__text,0.0
44,percent_nocturnal__allweek__night__call,0.0
45,percent_nocturnal__weekday__day__call,0.0
46,percent_nocturnal__weekday__day__text,0.0009500447446040832
47,percent_nocturnal__weekday__night__text,0.0
48,percent_nocturnal__weekend__day__text,0.0
49,percent_nocturnal__weekend__night__text,0.0
50,percent_initiated_conversations__weekday__allday__callandtext,0.0
51,percent_initiated_conversations__weekend__allday__callandtext,0.0
52,percent_initiated_conversations__weekend__day__callandtext,0.0
53,percent_initiated_conversations__weekend__night__callandtext,0.0
54,percent_initiated_interactions__weekday__day__call,0.0
55,percent_initiated_interactions__weekday__night__call,0.0
56,response_delay_text__allweek__allday__callandtext__mean,0.0
57,response_delay_text__allweek__allday__callandtext__std,0.0
58,response_delay_text__allweek__allday__callandtext__median,0.0
59,response_delay_text__allweek__allday__callandtext__skewness,0.0
60,response_delay_text__allweek__allday__callandtext__min,0.0
61,response_delay_text__allweek__allday__callandtext__max,0.0
62,response_delay_text__allweek__day__callandtext__median,0.0
63,response_delay_text__allweek__day__callandtext__kurtosis,0.0
64,response_delay_text__allweek__night__callandtext__mean,0.0
65,response_delay_text__allweek__night__callandtext__skewness,0.0
66,response_delay_text__allweek__night__callandtext__kurtosis,0.0
67,response_delay_text__allweek__night__callandtext__min,0.0
68,response_delay_text__allweek__night__callandtext__max,0.0
69,response_delay_text__weekday__allday__callandtext__mean,0.0
70,response_delay_text__weekday__allday__callandtext__skewness,0.0
71,response_delay_text__weekday__allday__callandtext__kurtosis,0.0
72,response_delay_text__weekday__allday__callandtext__min,0.0
73,response_delay_text__weekday__allday__callandtext__max,0.0
74,response_delay_text__weekday__day__callandtext__std,0.0
75,response_delay_text__weekday__day__callandtext__median,0.0
76,response_delay_text__weekday__day__callandtext__kurtosis,0.0
77,response_delay_text__weekday__day__callandtext__max,0.0
78,response_delay_text__weekday__night__callandtext__mean,0.0
79,response_delay_text__weekday__night__callandtext__median,0.0
80,response_delay_text__weekday__night__callandtext__kurtosis,0.0
81,response_delay_text__weekday__night__callandtext__max,0.0005671697108604644
82,response_delay_text__weekend__allday__callandtext__mean,0.0
83,response_delay_text__weekend__allday__callandtext__skewness,0.0
84,response_delay_text__weekend__allday__callandtext__kurtosis,0.0
85,response_delay_text__weekend__allday__callandtext__min,0.0
86,response_delay_text__weekend__allday__callandtext__max,0.00047644620404147295
87,response_delay_text__weekend__day__callandtext__mean,0.0004931806964477664
88,response_delay_text__weekend__day__callandtext__kurtosis,0.0
89,response_delay_text__weekend__day__callandtext__min,0.0
90,response_delay_text__weekend__day__callandtext__max,0.0
91,response_delay_text__weekend__night__callandtext__mean,0.0
92,response_delay_text__weekend__night__callandtext__std,0.0
93,response_delay_text__weekend__night__callandtext__median,0.0
94,response_delay_text__weekend__night__callandtext__kurtosis,0.0
95,response_delay_text__weekend__night__callandtext__min,0.0
96,response_delay_text__weekend__night__callandtext__max,0.0
97,response_rate_text__allweek__day__callandtext,0.0
98,response_rate_text__allweek__night__callandtext,0.0
99,response_rate_text__weekday__allday__callandtext,0.0
100,response_rate_text__weekday__day__callandtext,0.0
101,response_rate_text__weekend__allday__callandtext,0.0008817631605073239
102,response_rate_text__weekend__night__callandtext,0.0
103,entropy_of_contacts__allweek__day__text,0.0
104,entropy_of_contacts__allweek__night__call,0.0021128121553384196
105,entropy_of_contacts__weekday__allday__call,0.0
106,entropy_of_contacts__weekday__allday__text,0.0
107,entropy_of_contacts__weekday__day__text,0.0
108,entropy_of_contacts__weekday__night__call,0.0
109,entropy_of_contacts__weekday__night__text,0.0
110,entropy_of_contacts__weekend__allday__call,0.0
111,entropy_of_contacts__weekend__allday__text,0.0
112,balance_of_contacts__allweek__allday__call__skewness,0.0
113,balance_of_contacts__allweek__allday__call__max,0.0
114,balance_of_contacts__allweek__allday__text__mean,0.0
115,balance_of_contacts__allweek__allday__text__std,0.0
116,balance_of_contacts__allweek__allday__text__min,0.0
117,balance_of_contacts__allweek__day__call__std,0.0
118,balance_of_contacts__allweek__day__call__skewness,0.0
119,balance_of_contacts__allweek__day__call__kurtosis,0.0
120,balance_of_contacts__allweek__day__call__min,0.0
121,balance_of_contacts__allweek__day__text__min,0.0
122,balance_of_contacts__allweek__day__text__max,0.0
123,balance_of_contacts__allweek__night__call__skewness,0.0
124,balance_of_contacts__allweek__night__call__min,0.0
125,balance_of_contacts__allweek__night__call__max,0.0
126,balance_of_contacts__allweek__night__text__mean,0.0
127,balance_of_contacts__allweek__night__text__std,0.0
128,balance_of_contacts__allweek__night__text__median,0.0
129,balance_of_contacts__allweek__night__text__skewness,0.0
130,balance_of_contacts__allweek__night__text__min,0.0
131,balance_of_contacts__weekday__allday__call__mean,0.0006599731875944012
132,balance_of_contacts__weekday__allday__call__std,0.0
133,balance_of_contacts__weekday__allday__call__median,0.0
