,feature,importance
0,reporting__number_of_records,0
1,active_days__allweek__day__callandtext,0
2,active_days__allweek__night__callandtext,1
3,active_days__weekend__allday__callandtext,3
4,active_days__weekend__day__callandtext,0
5,number_of_contacts__allweek__allday__text,0
6,number_of_contacts__allweek__day__text,0
7,number_of_contacts__allweek__night__text,0
8,number_of_contacts__weekday__allday__text,1
9,number_of_contacts__weekend__allday__text,0
10,number_of_contacts__weekend__night__call,0
11,number_of_contacts__weekend__night__text,2
12,call_duration__allweek__allday__call__mean,0
13,call_duration__allweek__allday__call__median,0
14,call_duration__allweek__allday__call__skewness,3
15,call_duration__allweek__allday__call__min,6
16,call_duration__allweek__allday__call__max,1
17,call_duration__allweek__day__call__mean,0
18,call_duration__allweek__day__call__std,0
19,call_duration__allweek__day__call__kurtosis,0
20,call_duration__allweek__day__call__max,1
21,call_duration__allweek__night__call__mean,7
22,call_duration__allweek__night__call__skewness,2
23,call_duration__weekday__allday__call__mean,0
24,call_duration__weekday__day__call__mean,0
25,call_duration__weekday__day__call__std,0
26,call_duration__weekday__day__call__min,0
27,call_duration__weekday__night__call__skewness,1
28,call_duration__weekday__night__call__kurtosis,0
29,call_duration__weekday__night__call__max,0
30,call_duration__weekend__allday__call__std,0
31,call_duration__weekend__allday__call__median,0
32,call_duration__weekend__allday__call__max,0
33,call_duration__weekend__day__call__mean,0
34,call_duration__weekend__day__call__kurtosis,0
35,call_duration__weekend__day__call__min,0
36,call_duration__weekend__night__call__median,1
37,call_duration__weekend__night__call__skewness,2
38,call_duration__weekend__night__call__kurtosis,0
39,percent_nocturnal__allweek__allday__call,0
40,percent_nocturnal__allweek__allday__text,0
41,percent_nocturnal__allweek__day__call,0
42,percent_nocturnal__allweek__day__text,0
43,percent_nocturnal__allweek__night__call,0
44,percent_nocturnal__weekday__day__call,0
45,percent_nocturnal__weekday__day__text,5
46,percent_nocturnal__weekday__night__text,0
47,percent_nocturnal__weekend__day__text,0
48,percent_nocturnal__weekend__night__text,0
49,percent_initiated_conversations__weekday__allday__callandtext,1
50,percent_initiated_conversations__weekend__allday__callandtext,0
51,percent_initiated_conversations__weekend__day__callandtext,0
52,percent_initiated_conversations__weekend__night__callandtext,0
53,percent_initiated_interactions__weekday__day__call,0
54,percent_initiated_interactions__weekday__night__call,0
55,response_delay_text__allweek__allday__callandtext__mean,0
56,response_delay_text__allweek__allday__callandtext__std,0
57,response_delay_text__allweek__allday__callandtext__skewness,0
58,response_delay_text__allweek__allday__callandtext__min,0
59,response_delay_text__allweek__allday__callandtext__max,0
60,response_delay_text__allweek__day__callandtext__median,4
61,response_delay_text__allweek__day__callandtext__kurtosis,1
62,response_delay_text__allweek__night__callandtext__mean,0
63,response_delay_text__allweek__night__callandtext__skewness,0
64,response_delay_text__allweek__night__callandtext__kurtosis,0
65,response_delay_text__allweek__night__callandtext__min,0
66,response_delay_text__allweek__night__callandtext__max,0
67,response_delay_text__weekday__allday__callandtext__mean,0
68,response_delay_text__weekday__allday__callandtext__skewness,0
69,response_delay_text__weekday__allday__callandtext__kurtosis,0
70,response_delay_text__weekday__allday__callandtext__min,0
71,response_delay_text__weekday__allday__callandtext__max,0
72,response_delay_text__weekday__day__callandtext__std,0
73,response_delay_text__weekday__day__callandtext__median,1
74,response_delay_text__weekday__day__callandtext__kurtosis,0
75,response_delay_text__weekday__day__callandtext__max,0
76,response_delay_text__weekday__night__callandtext__mean,0
77,response_delay_text__weekday__night__callandtext__median,0
78,response_delay_text__weekday__night__callandtext__kurtosis,0
79,response_delay_text__weekday__night__callandtext__max,0
80,response_delay_text__weekend__allday__callandtext__mean,0
81,response_delay_text__weekend__allday__callandtext__skewness,0
82,response_delay_text__weekend__allday__callandtext__kurtosis,3
83,response_delay_text__weekend__allday__callandtext__min,0
84,response_delay_text__weekend__allday__callandtext__max,3
85,response_delay_text__weekend__day__callandtext__mean,0
86,response_delay_text__weekend__day__callandtext__kurtosis,0
87,response_delay_text__weekend__day__callandtext__min,0
88,response_delay_text__weekend__day__callandtext__max,1
89,response_delay_text__weekend__night__callandtext__mean,0
90,response_delay_text__weekend__night__callandtext__std,5
91,response_delay_text__weekend__night__callandtext__median,1
92,response_delay_text__weekend__night__callandtext__kurtosis,0
93,response_delay_text__weekend__night__callandtext__min,0
94,response_delay_text__weekend__night__callandtext__max,0
95,response_rate_text__allweek__day__callandtext,2
96,response_rate_text__allweek__night__callandtext,0
97,response_rate_text__weekday__allday__callandtext,4
98,response_rate_text__weekday__day__callandtext,0
99,response_rate_text__weekend__allday__callandtext,0
100,response_rate_text__weekend__night__callandtext,0
101,entropy_of_contacts__allweek__day__text,0
102,entropy_of_contacts__allweek__night__call,0
103,entropy_of_contacts__weekday__allday__call,0
104,entropy_of_contacts__weekday__allday__text,0
105,entropy_of_contacts__weekday__day__text,0
106,entropy_of_contacts__weekday__night__call,0
107,entropy_of_contacts__weekday__night__text,0
108,entropy_of_contacts__weekend__allday__call,0
109,entropy_of_contacts__weekend__allday__text,0
110,balance_of_contacts__allweek__allday__call__skewness,0
111,balance_of_contacts__allweek__allday__call__max,1
112,balance_of_contacts__allweek__allday__text__mean,0
113,balance_of_contacts__allweek__allday__text__std,0
114,balance_of_contacts__allweek__allday__text__min,0
115,balance_of_contacts__allweek__day__call__std,0
116,balance_of_contacts__allweek__day__call__skewness,1
117,balance_of_contacts__allweek__day__call__kurtosis,0
118,balance_of_contacts__allweek__day__call__min,0
119,balance_of_contacts__allweek__day__text__min,0
120,balance_of_contacts__allweek__day__text__max,0
121,balance_of_contacts__allweek__night__call__skewness,0
122,balance_of_contacts__allweek__night__call__min,1
123,balance_of_contacts__allweek__night__call__max,0
124,balance_of_contacts__allweek__night__text__mean,0
125,balance_of_contacts__allweek__night__text__std,0
126,balance_of_contacts__allweek__night__text__median,0
127,balance_of_contacts__allweek__night__text__skewness,2
128,balance_of_contacts__allweek__night__text__min,0
129,balance_of_contacts__weekday__allday__call__mean,0
130,balance_of_contacts__weekday__allday__call__std,0
131,balance_of_contacts__weekday__allday__call__median,0
132,balance_of_contacts__weekday__allday__text__mean,2
133,balance_of_contacts__weekday__allday__text__std,0
134,balance_of_contacts__weekday__allday__text__median,0
135,balance_of_contacts__weekday__day__call__std,0
136,balance_of_contacts__weekday__day__call__median,0
137,balance_of_contacts__weekday__day__call__min,0
138,balance_of_contacts__weekday__day__text__mean,0
139,balance_of_contacts__weekday__day__text__median,0
140,balance_of_contacts__weekday__day__text__kurtosis,0
141,balance_of_contacts__weekday__day__text__min,2
142,balance_of_contacts__weekday__night__call__mean,0
143,balance_of_contacts__weekday__night__call__std,5
144,balance_of_contacts__weekday__night__call__skewness,0
145,balance_of_contacts__weekday__night__call__max,3
146,balance_of_contacts__weekday__night__text__mean,1
147,balance_of_contacts__weekday__night__text__std,0
148,balance_of_contacts__weekday__night__text__median,0
149,balance_of_contacts__weekday__night__text__kurtosis,1
150,balance_of_contacts__weekday__night__text__min,0
151,balance_of_contacts__weekend__allday__call__std,0
152,balance_of_contacts__weekend__allday__call__skewness,0
153,balance_of_contacts__weekend__allday__call__kurtosis,0
154,balance_of_contacts__weekend__allday__text__std,1
155,balance_of_contacts__weekend__allday__text__median,0
156,balance_of_contacts__weekend__allday__text__kurtosis,0
157,balance_of_contacts__weekend__day__call__std,0
158,balance_of_contacts__weekend__day__call__kurtosis,0
159,balance_of_contacts__weekend__day__call__min,2
160,balance_of_contacts__weekend__day__text__mean,1
161,balance_of_contacts__weekend__day__text__std,1
162,balance_of_contacts__weekend__day__text__median,0
163,balance_of_contacts__weekend__day__text__min,0
164,balance_of_contacts__weekend__day__text__max,0
165,balance_of_contacts__weekend__night__call__mean,0
166,balance_of_contacts__weekend__night__call__std,0
167,balance_of_contacts__weekend__night__call__skewness,2
168,balance_of_contacts__weekend__night__call__kurtosis,0
169,balance_of_contacts__weekend__night__text__median,0
170,balance_of_contacts__weekend__night__text__skewness,2
171,balance_of_contacts__weekend__night__text__kurtosis,0
172,balance_of_contacts__weekend__night__text__min,0
173,interactions_per_contact__allweek__allday__call__skewness,0
174,interactions_per_contact__allweek__allday__text__skewness,0
175,interactions_per_contact__allweek__allday__text__kurtosis,0
176,interactions_per_contact__allweek__allday__text__min,1
177,interactions_per_contact__allweek__day__call__std,0
178,interactions_per_contact__allweek__day__call__median,2
179,interactions_per_contact__allweek__day__text__mean,0
180,interactions_per_contact__allweek__day__text__std,0
181,interactions_per_contact__allweek__day__text__median,0
182,interactions_per_contact__allweek__day__text__max,0
183,interactions_per_contact__allweek__night__call__std,0
184,interactions_per_contact__allweek__night__call__skewness,4
185,interactions_per_contact__allweek__night__call__kurtosis,0
186,interactions_per_contact__allweek__night__text__mean,0
187,interactions_per_contact__allweek__night__text__median,0
188,interactions_per_contact__allweek__night__text__min,0
189,interactions_per_contact__allweek__night__text__max,0
190,interactions_per_contact__weekday__allday__call__skewness,1
191,interactions_per_contact__weekday__allday__call__kurtosis,0
192,interactions_per_contact__weekday__allday__call__max,0
193,interactions_per_contact__weekday__allday__text__std,3
194,interactions_per_contact__weekday__allday__text__kurtosis,0
195,interactions_per_contact__weekday__allday__text__max,3
196,interactions_per_contact__weekday__day__call__mean,0
197,interactions_per_contact__weekday__day__call__std,0
198,interactions_per_contact__weekday__day__call__kurtosis,0
199,interactions_per_contact__weekday__day__text__median,0
200,interactions_per_contact__weekday__day__text__kurtosis,0
201,interactions_per_contact__weekday__day__text__min,0
202,interactions_per_contact__weekday__night__call__mean,0
203,interactions_per_contact__weekday__night__call__std,1
204,interactions_per_contact__weekday__night__call__median,0
205,interactions_per_contact__weekday__night__call__skewness,0
206,interactions_per_contact__weekday__night__text__mean,0
207,interactions_per_contact__weekday__night__text__std,0
208,interactions_per_contact__weekday__night__text__skewness,3
209,interactions_per_contact__weekend__allday__call__mean,0
210,interactions_per_contact__weekend__allday__call__std,1
211,interactions_per_contact__weekend__allday__call__skewness,0
212,interactions_per_contact__weekend__allday__call__kurtosis,0
213,interactions_per_contact__weekend__allday__call__max,0
214,interactions_per_contact__weekend__allday__text__median,0
215,interactions_per_contact__weekend__allday__text__skewness,0
216,interactions_per_contact__weekend__day__call__mean,0
217,interactions_per_contact__weekend__day__call__std,0
218,interactions_per_contact__weekend__day__call__kurtosis,3
219,interactions_per_contact__weekend__day__call__min,0
220,interactions_per_contact__weekend__day__text__std,0
221,interactions_per_contact__weekend__day__text__skewness,0
222,interactions_per_contact__weekend__day__text__min,0
223,interactions_per_contact__weekend__day__text__max,1
224,interactions_per_contact__weekend__night__call__mean,0
225,interactions_per_contact__weekend__night__call__std,0
226,interactions_per_contact__weekend__night__call__min,0
227,interactions_per_contact__weekend__night__call__max,0
228,interactions_per_contact__weekend__night__text__median,0
229,interevent_time__allweek__allday__call__median,0
230,interevent_time__allweek__allday__call__kurtosis,2
231,interevent_time__allweek__allday__call__min,0
232,interevent_time__allweek__allday__text__median,0
233,interevent_time__allweek__allday__text__skewness,0
234,interevent_time__allweek__allday__text__kurtosis,0
235,interevent_time__allweek__day__call__skewness,0
236,interevent_time__allweek__day__call__kurtosis,1
237,interevent_time__allweek__day__call__max,0
238,interevent_time__allweek__day__text__mean,0
239,interevent_time__allweek__day__text__skewness,0
240,interevent_time__allweek__day__text__kurtosis,1
241,interevent_time__allweek__day__text__min,0
242,interevent_time__allweek__night__call__mean,0
243,interevent_time__allweek__night__call__kurtosis,0
244,interevent_time__allweek__night__text__mean,2
245,interevent_time__allweek__night__text__median,3
246,interevent_time__allweek__night__text__kurtosis,0
247,interevent_time__allweek__night__text__max,3
248,interevent_time__weekday__allday__call__skewness,0
249,interevent_time__weekday__allday__call__max,0
250,interevent_time__weekday__allday__text__mean,0
251,interevent_time__weekday__allday__text__std,0
252,interevent_time__weekday__allday__text__skewness,0
253,interevent_time__weekday__allday__text__kurtosis,0
254,interevent_time__weekday__day__call__mean,1
255,interevent_time__weekday__day__call__kurtosis,0
256,interevent_time__weekday__day__call__min,0
257,interevent_time__weekday__day__text__mean,4
258,interevent_time__weekday__day__text__kurtosis,0
259,interevent_time__weekday__day__text__min,0
260,interevent_time__weekday__night__call__median,0
261,interevent_time__weekday__night__call__kurtosis,0
262,interevent_time__weekday__night__call__min,0
263,interevent_time__weekday__night__call__max,2
264,interevent_time__weekday__night__text__median,0
265,interevent_time__weekday__night__text__kurtosis,0
266,interevent_time__weekday__night__text__min,2
267,interevent_time__weekday__night__text__max,0
268,interevent_time__weekend__allday__call__median,1
269,interevent_time__weekend__allday__call__skewness,4
270,interevent_time__weekend__allday__text__skewness,0
271,interevent_time__weekend__allday__text__kurtosis,0
272,interevent_time__weekend__day__call__mean,1
273,interevent_time__weekend__day__text__mean,0
274,interevent_time__weekend__day__text__std,7
275,interevent_time__weekend__day__text__median,0
276,interevent_time__weekend__day__text__skewness,0
277,interevent_time__weekend__day__text__kurtosis,0
278,interevent_time__weekend__day__text__min,1
279,interevent_time__weekend__night__call__std,1
280,interevent_time__weekend__night__call__skewness,0
281,interevent_time__weekend__night__call__max,0
282,interevent_time__weekend__night__text__median,0
283,interevent_time__weekend__night__text__max,0
284,percent_pareto_interactions__allweek__allday__text,0
285,percent_pareto_interactions__allweek__day__call,0
286,percent_pareto_interactions__allweek__night__call,1
287,percent_pareto_interactions__allweek__night__text,0
288,percent_pareto_interactions__weekday__night__call,0
289,percent_pareto_interactions__weekday__night__text,0
290,percent_pareto_interactions__weekend__day__call,1
291,percent_pareto_interactions__weekend__day__text,0
292,percent_pareto_interactions__weekend__night__call,2
293,percent_pareto_interactions__weekend__night__text,1
294,percent_pareto_durations__weekday__allday__call,2
295,percent_pareto_durations__weekday__day__call,0
296,percent_pareto_durations__weekday__night__call,0
297,percent_pareto_durations__weekend__night__call,1
298,number_of_interactions__allweek__day__call,0
299,number_of_interactions__allweek__day__text,0
300,number_of_interactions__weekday__allday__call,0
301,number_of_interactions__weekday__day__call,0
302,number_of_interactions__weekday__day__text,0
303,number_of_interactions__weekday__night__text,1
304,number_of_interactions__weekend__allday__call,0
305,number_of_interactions__weekend__day__call,0
306,number_of_interaction_in__allweek__allday__call,0
307,number_of_interaction_in__allweek__day__text,0
308,number_of_interaction_in__allweek__night__text,1
309,number_of_interaction_in__weekday__allday__text,1
310,number_of_interaction_in__weekday__day__call,3
311,number_of_interaction_in__weekday__day__text,0
312,number_of_interaction_in__weekday__night__text,0
313,number_of_interaction_in__weekend__allday__call,1
314,number_of_interaction_in__weekend__day__call,1
315,number_of_interaction_in__weekend__day__text,0
316,number_of_interaction_out__allweek__allday__call,0
317,number_of_interaction_out__allweek__allday__text,4
318,number_of_interaction_out__allweek__day__call,0
319,number_of_interaction_out__allweek__day__text,0
320,number_of_interaction_out__allweek__night__text,0
321,number_of_interaction_out__weekday__allday__call,0
322,number_of_interaction_out__weekday__day__call,0
323,number_of_interaction_out__weekday__day__text,0
324,number_of_interaction_out__weekday__night__call,0
325,number_of_interaction_out__weekend__allday__call,0
326,number_of_interaction_out__weekend__day__call,0
327,number_of_interaction_out__weekend__night__text,0
328,number_of_antennas__allweek__allday,0
329,number_of_antennas__allweek__day,0
330,number_of_antennas__allweek__night,0
331,number_of_antennas__weekday__allday,0
332,number_of_antennas__weekday__day,2
333,number_of_antennas__weekday__night,1
334,number_of_antennas__weekend__night,0
335,entropy_of_antennas__allweek__allday,0
336,entropy_of_antennas__weekday__day,0
337,entropy_of_antennas__weekday__night,0
338,entropy_of_antennas__weekend__night,0
339,percent_at_home__weekday__allday,0
340,percent_at_home__weekday__day,0
341,percent_at_home__weekend__night,0
342,radius_of_gyration__allweek__allday,0
343,radius_of_gyration__allweek__night,0
344,radius_of_gyration__weekday__day,0
345,radius_of_gyration__weekday__night,0
346,radius_of_gyration__weekend__allday,0
347,radius_of_gyration__weekend__day,0
348,radius_of_gyration__weekend__night,0
349,frequent_antennas__weekday__day,1
350,frequent_antennas__weekday__night,0
351,frequent_antennas__weekend__day,0
352,frequent_antennas__weekend__night,2
353,churn_rate__std,0
354,amount_recharges__allweek__allday__median,0
355,amount_recharges__allweek__allday__skewness,0
356,amount_recharges__allweek__day__mean,0
357,amount_recharges__allweek__day__std,0
358,amount_recharges__allweek__day__skewness,1
359,amount_recharges__allweek__day__kurtosis,1
360,amount_recharges__allweek__day__max,0
361,amount_recharges__allweek__night__std,1
362,amount_recharges__allweek__night__median,1
363,amount_recharges__allweek__night__min,1
364,amount_recharges__weekday__allday__mean,0
365,amount_recharges__weekday__allday__std,0
366,amount_recharges__weekday__day__std,0
367,amount_recharges__weekday__day__kurtosis,2
368,amount_recharges__weekday__night__mean,0
369,amount_recharges__weekday__night__kurtosis,0
370,amount_recharges__weekday__night__min,0
371,amount_recharges__weekend__allday__std,1
372,amount_recharges__weekend__allday__skewness,0
373,amount_recharges__weekend__allday__min,0
374,amount_recharges__weekend__day__skewness,5
375,amount_recharges__weekend__day__min,0
376,amount_recharges__weekend__night__mean,1
377,amount_recharges__weekend__night__kurtosis,0
378,amount_recharges__weekend__night__max,0
379,interevent_time_recharges__allweek__allday__std,0
380,interevent_time_recharges__allweek__allday__skewness,0
381,interevent_time_recharges__allweek__day__std,1
382,interevent_time_recharges__allweek__day__skewness,1
383,interevent_time_recharges__allweek__day__kurtosis,0
384,interevent_time_recharges__allweek__day__min,1
385,interevent_time_recharges__allweek__night__mean,1
386,interevent_time_recharges__allweek__night__std,0
387,interevent_time_recharges__allweek__night__median,0
388,interevent_time_recharges__allweek__night__min,0
389,interevent_time_recharges__allweek__night__max,0
390,interevent_time_recharges__weekday__allday__std,0
391,interevent_time_recharges__weekday__allday__median,0
392,interevent_time_recharges__weekday__allday__skewness,0
393,interevent_time_recharges__weekday__allday__kurtosis,0
394,interevent_time_recharges__weekday__allday__min,1
395,interevent_time_recharges__weekday__allday__max,0
396,interevent_time_recharges__weekday__day__median,3
397,interevent_time_recharges__weekday__day__skewness,1
398,interevent_time_recharges__weekday__day__min,0
399,interevent_time_recharges__weekday__day__max,0
400,interevent_time_recharges__weekday__night__median,0
401,interevent_time_recharges__weekday__night__skewness,0
402,interevent_time_recharges__weekday__night__kurtosis,1
403,interevent_time_recharges__weekday__night__max,0
404,interevent_time_recharges__weekend__allday__median,0
405,interevent_time_recharges__weekend__allday__skewness,0
406,interevent_time_recharges__weekend__allday__kurtosis,0
407,interevent_time_recharges__weekend__allday__min,0
408,interevent_time_recharges__weekend__day__std,0
409,interevent_time_recharges__weekend__day__min,0
410,interevent_time_recharges__weekend__day__max,0
411,percent_pareto_recharges__allweek__day,0
412,percent_pareto_recharges__weekday__allday,0
413,percent_pareto_recharges__weekday__day,0
414,percent_pareto_recharges__weekday__night,1
415,percent_pareto_recharges__weekend__night,0
416,number_of_recharges__allweek__night,0
417,number_of_recharges__weekday__allday,0
418,number_of_recharges__weekday__day,0
419,number_of_recharges__weekday__night,0
420,number_of_recharges__weekend__day,0
