,feature,importance
0,reporting__number_of_records,0.0
1,active_days__allweek__day__callandtext,0.0
2,active_days__allweek__night__callandtext,0.0
3,active_days__weekend__allday__callandtext,0.003388629934026648
4,active_days__weekend__day__callandtext,0.0
5,number_of_contacts__allweek__allday__text,0.0
6,number_of_contacts__allweek__day__text,0.0
7,number_of_contacts__allweek__night__text,0.0
8,number_of_contacts__weekday__allday__text,0.0
9,number_of_contacts__weekend__allday__text,0.0
10,number_of_contacts__weekend__night__call,0.0
11,number_of_contacts__weekend__night__text,0.0
12,call_duration__allweek__allday__call__mean,0.0
13,call_duration__allweek__allday__call__median,0.0
14,call_duration__allweek__allday__call__skewness,0.01639892920120991
15,call_duration__allweek__allday__call__min,0.01626207676364262
16,call_duration__allweek__allday__call__max,0.0
17,call_duration__allweek__day__call__mean,0.004220343692905821
18,call_duration__allweek__day__call__std,0.0
19,call_duration__allweek__day__call__kurtosis,0.0
20,call_duration__allweek__day__call__max,0.015172948834979438
21,call_duration__allweek__night__call__mean,0.03243093418197862
22,call_duration__allweek__night__call__skewness,0.0
23,call_duration__weekday__allday__call__mean,0.016638244672805662
24,call_duration__weekday__day__call__mean,0.0
25,call_duration__weekday__day__call__std,0.0
26,call_duration__weekday__day__call__min,0.0
27,call_duration__weekday__night__call__skewness,0.007143025555099125
28,call_duration__weekday__night__call__kurtosis,0.004271862309114978
29,call_duration__weekday__night__call__max,0.0
30,call_duration__weekend__allday__call__std,0.0
31,call_duration__weekend__allday__call__median,0.004827379940477521
32,call_duration__weekend__allday__call__max,0.008580055109616626
33,call_duration__weekend__day__call__mean,0.0
34,call_duration__weekend__day__call__kurtosis,0.010448526668747949
35,call_duration__weekend__day__call__min,0.0
36,call_duration__weekend__night__call__median,0.007288786247061877
37,call_duration__weekend__night__call__skewness,0.0
38,call_duration__weekend__night__call__kurtosis,0.0
39,percent_nocturnal__allweek__allday__call,0.0
40,percent_nocturnal__allweek__allday__text,0.0
41,percent_nocturnal__allweek__day__call,0.0
42,percent_nocturnal__allweek__day__text,0.0
43,percent_nocturnal__allweek__night__call,0.0
44,percent_nocturnal__weekday__day__call,0.006038126760083322
45,percent_nocturnal__weekday__day__text,0.0
46,percent_nocturnal__weekday__night__text,0.0
47,percent_nocturnal__weekend__day__text,0.0
48,percent_nocturnal__weekend__night__text,0.0
49,percent_initiated_conversations__weekday__allday__callandtext,0.0
50,percent_initiated_conversations__weekend__allday__callandtext,0.0
51,percent_initiated_conversations__weekend__day__callandtext,0.0
52,percent_initiated_conversations__weekend__night__callandtext,0.0
53,percent_initiated_interactions__weekday__day__call,0.0
54,percent_initiated_interactions__weekday__night__call,0.0
55,response_delay_text__allweek__allday__callandtext__mean,0.0
56,response_delay_text__allweek__allday__callandtext__std,0.0
57,response_delay_text__allweek__allday__callandtext__skewness,0.0
58,response_delay_text__allweek__allday__callandtext__min,0.0075073244386912475
59,response_delay_text__allweek__allday__callandtext__max,0.01605729064911183
60,response_delay_text__allweek__day__callandtext__median,0.0
61,response_delay_text__allweek__day__callandtext__kurtosis,0.0
62,response_delay_text__allweek__night__callandtext__mean,0.0
63,response_delay_text__allweek__night__callandtext__skewness,0.0
