,feature,importance
0,below_poverty_line,0.0
1,reporting__number_of_records,0.0
2,active_days__allweek__day__callandtext,0.0
3,active_days__allweek__night__callandtext,0.0
4,active_days__weekend__allday__callandtext,0.013792344091234265
5,active_days__weekend__day__callandtext,0.0
6,number_of_contacts__allweek__allday__text,0.0
7,number_of_contacts__allweek__day__text,0.022114115088706674
8,number_of_contacts__allweek__night__text,0.0
9,number_of_contacts__weekday__allday__text,0.0
10,number_of_contacts__weekend__allday__text,0.0
11,number_of_contacts__weekend__night__call,0.0
12,number_of_contacts__weekend__night__text,0.006886328320168468
13,call_duration__allweek__allday__call__mean,0.0
14,call_duration__allweek__allday__call__median,0.0
15,call_duration__allweek__allday__call__skewness,0.0
16,call_duration__allweek__allday__call__min,0.0
17,call_duration__allweek__allday__call__max,0.0
18,call_duration__allweek__day__call__mean,0.0
19,call_duration__allweek__day__call__std,0.0
20,call_duration__allweek__day__call__kurtosis,0.0
21,call_duration__allweek__day__call__max,0.011069715236440373
22,call_duration__allweek__night__call__mean,0.025196932774212713
23,call_duration__allweek__night__call__skewness,0.0
24,call_duration__weekday__allday__call__mean,0.0
25,call_duration__weekday__day__call__mean,0.0
26,call_duration__weekday__day__call__std,0.0
27,call_duration__weekday__day__call__min,0.0
28,call_duration__weekday__night__call__skewness,0.0
29,call_duration__weekday__night__call__kurtosis,0.0
30,call_duration__weekday__night__call__max,0.0
31,call_duration__weekend__allday__call__std,0.005721329529282039
32,call_duration__weekend__allday__call__median,0.0
33,call_duration__weekend__allday__call__max,0.010057672844737417
34,call_duration__weekend__day__call__mean,0.0
35,call_duration__weekend__day__call__kurtosis,0.0
36,call_duration__weekend__day__call__min,0.0
37,call_duration__weekend__night__call__median,0.021059846025803255
38,call_duration__weekend__night__call__skewness,0.008037543773032568
39,call_duration__weekend__night__call__kurtosis,0.0
40,percent_nocturnal__allweek__allday__call,0.0
41,percent_nocturnal__allweek__allday__text,0.0
42,percent_nocturnal__allweek__day__call,0.0
43,percent_nocturnal__allweek__day__text,0.007220928448910991
44,percent_nocturnal__allweek__night__call,0.0
45,percent_nocturnal__weekday__day__call,0.008345687631476223
46,percent_nocturnal__weekday__day__text,0.0
47,percent_nocturnal__weekday__night__text,0.0
48,percent_nocturnal__weekend__day__text,0.0
49,percent_nocturnal__weekend__night__text,0.0
50,percent_initiated_conversations__weekday__allday__callandtext,0.0
51,percent_initiated_conversations__weekend__allday__callandtext,0.0
52,percent_initiated_conversations__weekend__day__callandtext,0.0
53,percent_initiated_conversations__weekend__night__callandtext,0.0
54,percent_initiated_interactions__weekday__day__call,0.0
